preprocessed,original
any suggestions for songs albums with similar sounds to ghost by machine girl,Any suggestions for songs/ albums with similar sounds to Ghost by Machine Girl?
songs like playinwitme by kyle and ispy by kyle,"Songs like Playinwitme by KYLE, and iSpy by KYLE"
summer playlist song recommendations,Summer Playlist Song Recommendations :)
a rock or folk song with a lot of lyrics,A rock or folk song with a LOT of lyrics
looking for grassroots indie country,Looking for grassroots indie/country
more collaborations like this,More collaborations like this
party music,Party Music
creepy remixes or covers,Creepy remixes or covers?
help me find a remix,Help me find a remix!
songs like old doll from mad father or hide and seek vocaloid english cover by lizz robinett,"Songs Like ""Old Doll"" from Mad Father or ""Hide and Seek (Vocaloid) English Cover"" by Lizz Robinett"
album suggestions,Album suggestions
sorta like alex turners stuff from submarine,Sorta like Alex Turner's stuff from Submarine
songs similar to leroyce team | ft t gallardo & loners club | hiphop recommendation,songs similar to LeRoyce - Team (ft. T Gallardo & Loners Club) [hiphop recommendation]
looking for the similar beat tune flow | nxworries droogs,Looking for the similar beat/tune/flow (NxWorries -Droogs)
music fit for adult swim bumps,Music fit for [adult swim] bumps?
recently found this song that gets my blood pumping like crazy anything like it | i dont want to burn this song out too quickly,"Recently found this song that gets my blood pumping like crazy, anything like it? (I don't want to burn this song out too quickly)"
autopsychosis by katalepsy is my favorite brutal slam album | any bands like them,Autopsychosis by Katalepsy is my favorite brutal/slam album. any bands like them?
what are some sweet and non creepy songs about involving an age gap | with the guy as the older one,What are some sweet and non-creepy songs about/involving an age gap (with the guy as the older one)?
songs similar to seizure of power or the drowning,Songs similar to Seizure of Power or The Drowning
looking for similar vocals and drums,Looking for similar vocals and drums.
kyg holiday on my way,KYG Holiday - On my Way
nature boy remix,Nature Boy remix
looking for some chill songs with autotuned vocals,Looking for some chill songs with autotuned vocals.
something similar to burden in my hand by soundgarden,Something similar to Burden In My Hand by Soundgarden?
songs like in the city nyxen,"songs like ""in the city"" - nyxen"
go to good vibe song,Go to good vibe song
upbeat happy california summer vibe songs you would play in the car while driving to the beach,Upbeat/happy California summer vibe songs you would play in the car while driving to the beach
dark prog rock,Dark Prog Rock?
any bands albums similar to spiderland by slint,any bands/albums similar to Spiderland by Slint?
music similar to this | electronic coldwave ish,Music similar to this (electronic coldwave-ish?)
looking for some chill rock jazz blues to listen to as background music to work game etc to,Looking for some chill rock/jazz/blues to listen to as background music to work/game/etc to.
music like souls of fire firelink shrine or nameless song from dark souls,"Music like Souls of Fire, firelink shrine or nameless song from Dark Souls?"
songs similar to jin tekken theme,Songs similar to Jin Tekken theme
any songs that are quite chill with soft korean singing,Any songs that are quite chill with soft Korean singing?
looking for more lighthearted music like this any suggestions,"Looking for more lighthearted music like this, any suggestions? :)"
looking for songs when they take their voice to the next level,Looking for songs when they take their voice to the next level.
rap similar to logics song all i do that i can just chill out and groove to,"Rap similar to Logic's song ""All I do"" that I can just chill out and groove to?"
something with a garage heavy fuzz sound similar to this track by ty segall,Something with a garage/heavy fuzz sound similar to this track by Ty Segall.
what are some songs with a similar vibe story as the chain,What are some songs with a similar vibe/story as The Chain?
any songs similar to this | rock i think,"Any songs similar to this? (Rock, i think)"
song similar to naïve the shroud,Song similar to Naïve - The shroud
need some new r&b soul,Need some new R&B/Soul?
suggest some music similar to fleet foxes,suggest some music similar to Fleet Foxes?
looking for music like shakey graves,Looking for music like Shakey Graves
i really enjoy the first 40 sec of this song know any songs like it,"I really enjoy the first 40 sec of this song, know any songs like it?"
looking for various kinds of funky electronic music,Looking for various kinds of funky electronic music!
looking for class party songs,Looking for 'Class Party’ songs
looking for songs like i cant stop drinking by the menzingers,"Looking for songs like ""I Can't Stop Drinking"" by The Menzingers"
southern gothic dark johnny cash true detective season 1 intro,"Southern gothic, dark Johnny Cash, True Detective season 1 intro"
relax music for meditation,Relax Music For Meditation.
uplifting epic music for a gamer,Uplifting/epic music for a gamer
which songs like prayer in c are really slow and mellow | bonus points if they contain unorthodox instruments such as the flute,"Which songs like ""Prayer in C"" are really slow and mellow? Bonus points if they contain unorthodox instruments such as the flute."
caleb cruise u mad | ft kaleb mitchell,Caleb Cruise - U Mad? (ft. Kaleb Mitchell)
old school rock pop like a ha led zepplin or the eagles,"Old school rock/pop like a-ha, Led Zepplin or The Eagles?"
recommend some slow burning atmospheric songs with amazing break downs,"recommend some slow-burning, atmospheric songs with amazing break downs?"
i like wow main themes more like this,"I like WoW Main Themes, more like this?"
looking for chill out instrumental music,Looking for chill out instrumental music
music like this | filmmaker the love market specific songs,"Music like this? (filmmaker: the love market, specific songs)"
any jazzy or bossa nova sounding song suggestions,Any jazzy or bossa nova sounding song suggestions?
song calming like this one that i can sleep to | ideally with meaningful lyrics like this one but not necessary,Song calming like this one that I can sleep to. Ideally with meaningful lyrics like this one but not necessary.
do you know some great songs or bands with good vibes like viene de mi de la yegros,"Do you know some great songs or bands with good vibes like ""Viene de Mi"" de La Yegros?"
request for suggestions,Request for Suggestions
music like sun high from the us dawn of the dead soundtrack,"Music like ""Sun High"" from the US Dawn of the Dead soundtrack?"
need something similar to lcd soundsystem in my ears,Need something similar to LCD Soundsystem in my ears
suggestions for artists similar to harry chapin and jim croce,suggestions for artists similar to Harry Chapin and Jim Croce?
looking for modern positive sounding music for a conference held in south africa,"Looking for modern, positive sounding music for a conference held in South Africa"
hans zimmers interstellar music type musics,Hans Zimmer's - Interstellar Music Type Musics
music with textured production that creates a sense of atmosphere,Music with textured production that creates a sense of atmosphere
recommend more music like this | stuff thats partially but not completely electronic along with darker distorted instruments | although somehow still having a chill sound to it,"recommend more music like this? Stuff that’s partially but not completely electronic, along with darker, distorted instruments (although somehow still having a “chill” sound to it)"
openhouse cowdads,openhouse - CowDads
looking for something similar to runaway jamiroquai,Looking for something Similar to Runaway-Jamiroquai
im looking for more of a super specific vibe that ive really been feeling lately,I'm looking for more of a super specific vibe that I've really been feeling lately
looking for bittersweet soft rock love songs similar to mathematics by cherry ghost,"Looking for bittersweet soft rock love songs similar to ""Mathematics"" by Cherry Ghost"
dark and heavy blues rock like early sabbath,Dark and heavy blues rock like early Sabbath
songs with a similar drum and distorted synth beat as these two songs,Songs with a similar drum and distorted synth beat as these two songs
dark spooky songs,Dark spooky songs?!
looking for bands or music that are like they might be giants,Looking for bands or music that are like They Might Be Giants
looking for female artists like the mountain goats,Looking for female artists like The Mountain Goats
desperately looking for trap metal artists,Desperately looking for trap metal artists
suggest me less known artists with great vocals,Suggest me less known artists with great vocals!
can i have songs similar to this one | im addicted to this song so bad,Can I have songs similar to this one? I'm addicted to this song so bad
songs like the pointer sisters im so excited,Songs like the Pointer Sister's I'm so Excited?
songs with similar piano solos to the one in piano man,Songs with similar piano solos to the one in Piano Man?
looking for music similar to cant stop wont stop stop drop roll,Looking for Music similar to Cant Stop Wont Stop - Stop Drop Roll
sad dreamy indie music,Sad dreamy indie music
happy big band jazz like jump up super star,"Happy big-band jazz like Jump Up, Super Star!"
creepy industrial noise ish music for an oppressive atmosphere,Creepy Industrial/Noise-ish music for an oppressive atmosphere.
songs like seven lions serpent of old feat | ciscandra nostalgia,"Songs like ""Seven Lions - Serpent of Old (feat. Ciscandra Nostalgia)"""
similar songs to the very beginning of tuesday by burak yeter,Similar songs to the very beginning of Tuesday by Burak Yeter?
rub a dub dub by daniel hart similar classical music,"'Rub A Dub Dub' by Daniel Hart, Similar classical music?"
im looking for songs that use heavily processed autotuned vocals like this song @ 1 50,I'm looking for songs that use heavily processed/autotuned vocals like this song @ 1:50
help recomendations | 60s 80s funk and soul,[Help/Recomendations] 60's-80's Funk and Soul
artists like last dinosaurs and two doors cinemas club,Artists like Last Dinosaurs and Two Doors Cinemas Club
some ambient guitar music to wind down,Some ambient guitar music to wind down🙏 🎵✨
franco battiato one of my favorites,Franco Battiato: one of my favorites
any cute romantic esque christmas songs similar to snsds diamond,"Any cute, romantic-esque Christmas songs similar to SNSD's Diamond?"
creepy songs that sound happy upbeat,creepy songs that sound happy/upbeat
in major need of some warm up songs,in major need of some warm up songs!!
music to scheme to,Music to scheme to
traditional style acoustic chanting etc pagan music,Traditional style (acoustic/chanting etc.) pagan music?
lesser known rock songs,Lesser known rock songs
looking for music like kaleo,looking for music like Kaleo
got really into mgmt recently but theres not enough of their stuff | any other bands that have that same sort of odd sound about them,Got really into MGMT recently but there’s not enough of their stuff. any other bands that have that same sort of odd sound about them?
similar to frank ocean,Similar to Frank Ocean?
looking for something similar to koven the glitch mob or mark petrie,"Looking for something similar to Koven, The Glitch Mob or Mark Petrie"
songs similar to walk & skank jah screechy,Songs similar to Walk & Skank - Jah Screechy
any hardcore for someone who has lost their best friend,Any hardcore for someone who has lost their best friend?
find me a nice folk punk artist,Find me a nice folk/punk artist
im looking for songs similar to these two | any suggestions,I'm looking for songs similar to these two. Any suggestions?
can you advise me of similar songs,Can you advise me of similar songs !
suggestions to song genre like these two,suggestions to Song/genre like these two
tired of the same old lyrics,Tired of the same old lyrics
looking for songs similar to this | with contrabass,Looking for songs similar to this (with contrabass)
looking for music with a similar feel to sarah mclachlans fear,"Looking for music with a similar feel to Sarah McLachlan's ""Fear"""
looking to make a playlist of modern current rap hip hop house music,Looking to make a playlist of modern/current Rap/hip hop/house music
recently started listening to the imagined village | any other suggestions for similar music,Recently started listening to The Imagined Village. Any other suggestions for similar music?
looking for synthpop new wave bands,Looking for synthpop/New Wave bands
songs voices like this one | from netflix luke cage | raphael saadiq angel,Songs/voices like this one? (From Netflix' Luke Cage) -- Raphael Saadiq - Angel
music and genre similar to these,Music and Genre similar to these?
sad acoustic love songs about knowing theyre not right for you but loving them anyway,"Sad, acoustic love songs about knowing they're not right for you but loving them anyway?"
looking for music like i killed the prom queen but without all the screaming,Looking for music like 'I Killed the Prom Queen' but without all the screaming.
looking for things that are like this,Looking for things that are like this.
looking for good old acoustic blues music,looking for good old acoustic blues music
music similar to scroll of sorrow by machine girl,Music similar to Scroll of Sorrow by Machine Girl?
high energy mashup electronic,High Energy Mashup Electronic?
songs similar to butterflies by samsa,Songs similar to butterflies by Samsa?
punk that i can listen too while at the gym,Punk that I can listen too while at the gym?
looking for brass heavy songs,looking for brass heavy songs
fav top10 chinese song,Fav top10 Chinese song
looking for music similar to e ve,Looking for music similar to E ve.
looking for a song for a d&d animatic,Looking for a song for a D&D animatic
request | anything like savage gardens first album,[Request] Anything like Savage Garden's first album
songs like syd dales the hellraisers,"songs like Syd Dale's, ""The Hellraisers"""
songs about picking yourself back up,Songs about picking yourself back up?
i need some filthy dubstep recommendations,i need some filthy dubstep recommendations
songs about change,Songs about change
amon amarth suggestion,Amon amarth suggestion
what genre is this song most similar to,What genre is this song most similar to?
looking for songs that are similar to the first minute of this song,Looking for songs that are similar to the first minute of this song.
looking for a band like a thousand foot krutch,Looking for a band like a thousand foot krutch.
seeking out songs with a mysterious saxophone,Seeking out songs with a mysterious saxophone
is there a genre of music that has an arpeggio baseline,Is there a genre of music that has an arpeggio baseline?
looking for dancy rock,Looking for dancy rock
popular songs similar to van halen and stan bush,Popular Songs Similar to Van Halen and Stan Bush
stuff like the last 60 seconds of harder better faster stronger | like the edm equivalent of a guitar solo jam session,Stuff like the last 60 seconds of Harder Better Faster Stronger? Like the EDM equivalent of a guitar solo/jam session
help with halloween 80s dark alternative indie rock vibe playlist,Help with Halloween 80's dark alternative/indie/rock vibe playlist
music similar to the soundtrack of this war of mine,"Music similar to the soundtrack of ""This War of Mine""?"
badass townsend acoustic guitar,Badass Townsend Acoustic Guitar
songs that sound like the arc from the yours dreamily album recorder by the arcs,"Songs that sound like “The Arc” from the Yours, Dreamily album, recorder by The Arcs"
looking for partial 8 bit partial 16 bit music,Looking for partial 8 bit / partial 16 bit music
songs like this head i hold by electric guest,Songs like This Head I Hold by Electric Guest
suggest me good songs for a long trip,Suggest me good songs for a long trip! :p
similar music genre,Similar music / genre?
looking for anything similar to this one feryquitous track,Looking for anything similar to this one Feryquitous track!
i was hoping i could find something similar to overwork toccata | electro,I was hoping I could find something similar to Overwork - Toccata [Electro]
looking for music similar or connecting to what i like,"Looking for music similar, or connecting to what I like"
im thinking of giving drakes music a try what are some good starter songs to listen to by him,"I'm thinking of giving Drake's music a try, what are some good starter songs to listen to by him?"
trying to find some new punk metal,Trying to find some new punk/metal
im looking for an album that is similar to kendrick lamars to pimp a butterfly big krits 4eva is a mighty long time or childish gambinos awaken my love,"I'm looking for an album that is similar to Kendrick Lamar's To Pimp A Butterfly, Big K.R.I.T.'s 4eva Is a Mighty Long Time, OR Childish Gambino's ""Awaken, My Love!"""
incubus and ra,Incubus and RA
brown skin girl by beyonce any music with a similar sound,Brown Skin Girl by Beyonce - any music with a similar sound?
looking for music similar to divide by magna,"Looking for music similar to ""Divide"" by Magna"
albums for someone getting into funk,Albums for Someone Getting Into Funk?
is deep fried bossa nova a genre | opaul freddie dredd,Is deep fried Bossa Nova a genre? (eg. Opaul - Freddie Dredd)
songs similar to dont play no game that i cant win sebastian remix feat | santigold,Songs similar to: Don't Play No Game That I Can't Win (SebastiAn Remix) [feat. Santigold]
raspy voice folk bluegrass country,"Raspy voice, Folk/Bluegrass/Country"
looking for artists with this kind of sound,Looking for Artists with this kind of sound
raingurl yaeji,Raingurl - Yaeji
songs that have this type of flow,Songs that have this type of flow?
recommend me songs or a genre to search by please,Recommend me songs or a genre to search by please!
what is this | i need something similar | minimal electronic dance,What is this? I need something similar (minimal electronic/dance)
looking for songs for my crying myself to sleep playlist,"Looking for songs for my ""crying myself to sleep"" playlist"
chill lyrical electronica with a bit of an atmospheric feeling to it,Chill lyrical electronica with a bit of an atmospheric feeling to it?
looking for some music for a snowboard edit,Looking for some music for a snowboard edit
hiphop trap music like migos or travis scott in your native language,"hiphop/trap music like Migos or Travis Scott, in your native language"
modern jazz playlist for a restaurant,Modern jazz playlist for a restaurant.
looking for more suggestions similar to this song,Looking for more suggestions similar to this song.
music where the musician is talking and not singing,Music where the musician is talking and not singing.
looking for something like the gentle storm,Looking for something like The Gentle Storm
music like willow cudi,music like willow / cudi?
recommend more music like this one,recommend more music like this one?
bands like m83,Bands like M83?
looking for something similar to last alliance,Looking for something similar to Last Alliance
any music comparable to the end of this song,Any music comparable to the end of this song?
looking to expand my playlist redbone gambino & menswear | 1975,Looking to expand my playlist -Redbone (Gambino) & Menswear (1975)
fun songs to play on bass,Fun songs to play on bass?
songs that sound like | apache mr 24 7 365 have ever you felt,Songs that sound like [Apache Mr-24-7-365 - Have Ever You Felt]
looking for this type of music or similar songs,"Looking for this type of music, or similar songs"
midi guitar music,Midi guitar music?
suggest me something along the lines of daft punk arctic monkeys,"Suggest me something along the lines of Daft Punk, Arctic Monkeys"
i need new music to listen too,I need new music to listen too.
acoustic music that has more substance to it,"Acoustic music that has more ""substance"" to it?"
hapy romantic music,"Hapy, romantic music"
recommend some folk songs for me,Recommend some folk songs for me
upbeat fun edm house music with strong saxaphone or trumpets,upbeat/ fun EDM/house music with strong saxaphone or trumpets
songs that are similar to snow patrols chasing cars,Songs that are similar to Snow Patrol's Chasing Cars
any bands like late radiohead thom yorke solo career,Any bands like late Radiohead/Thom Yorke solo career?
looking for songs like this one bloom by the paper kites,Looking for songs like this one - Bloom by The Paper Kites
songs similar to defeating earths gravity by sunn o,Songs similar to Defeating Earth's Gravity by Sunn O)))?
japanese female singers similar to hikaru utada,Japanese female singers similar to Hikaru Utada?
party study workout edm mixes,Party/Study/Workout EDM Mixes
bonjour | looking for french music suggestions | genre electronic new disco indie pop jazz garage deep house hip hop rap eg | polo & pan parcels vendredi sur mer poom cortex justice damso dave stormzy melinda ademi,"Bonjour! Looking for French music suggestions. Genre: electronic, new disco, indie pop, jazz, garage/deep house, hip-hop, rap (e.g. Polo & Pan, Parcels, Vendredi sur Mer, Poom, Cortex, Justice, Damso, Dave, Stormzy, Melinda Ademi)"
songs similar to power by kanye west angel of the morning by juice newton and the immigrant song by led zepplin,"Songs Similar to Power by Kanye West, Angel of the Morning by Juice Newton, and the Immigrant Song by Led Zepplin?"
song for a wake,Song for a Wake
looking for songs that use a similiar sound instrument,Looking for songs that use a similiar sound/instrument
looking for other songs similar in style feeling and tempo,"Looking for other songs, similar in style / feeling and tempo."
music for chillin,Music for chillin
instrumental to read or study with,Instrumental to read or study with
not really a hip hop kinda guy but i really like the background voices in the chorus to this song anything similar,"Not really a hip-hop kinda guy, but I really like the background voices in the chorus to this song, anything similar?"
interested in rap and rnb music labels or singers,Interested in rap and rnb music labels or singers
looking for something to get me pumped,Looking for something to get me pumped
like blur intermission,Like Blur - Intermission?
songs like war of hearts by ruelle,Songs like War of Hearts by Ruelle?
songs like flunk cigarette burns,Songs like Flunk - Cigarette Burns
looking for more music to add to this playlist,Looking for more music to add to this Playlist
is there any music that carries a type of lonely vibe but not like sad | im feeling like everyone around me is kind of playing an act or like im the only real person is there any album that explores that feeling,"Is there any music that carries a type of lonely vibe, but not like sad. I'm feeling like everyone around me is kind of playing an act or like I'm the only real person, is there any album that explores that feeling?"
along the lines of balmorheas early stuff,Along the lines of Balmorhea's early stuff
303 driven house like hardfloor,303-driven house like Hardfloor
looking for good night driving music with a lot of 80s style synths,Looking for good night-driving music with a lot of 80's-style synths
trying to find songs very similar to mike perrys the ocean,Trying to find songs very similar to Mike Perry's 'The Ocean'
songs based on referencing myths and or legends,Songs based on/referencing myths and/or legends
looking for songs that make you want to march off into war,Looking for songs that make you want to march off into war
pls help me find music genres artists that fit my friends aesthetic,pls help me find music genres/artists that fit my friend's aesthetic!
more songs like this | slow and kind of sad sounding,More songs like this? Slow and kind of sad sounding?
suggestions for post punk albums nothing too obscure for someone who liked unknown pleasures and public image ltd,suggestions for post punk albums (nothing too obscure) for someone who liked 'Unknown Pleasures' and Public Image Ltd
i cant get enough of another night on mars by the maine | what else should i be obsessed with,"I can't get enough of ""Another Night on Mars"" by The Maine. What else should I be obsessed with?"
i randomly found a song called cherry blossom girl air and i love it | looking for similar songs,I randomly found a song called Cherry Blossom Girl - Air and I love it. Looking for similar songs.
looking for calm ambient peaceful song not unlike this one,"looking for calm, ambient, peaceful song not unlike this one"
sexy music like marvin gaye lets get it on,Sexy Music like Marvin Gaye - Let's get it on
spy movie style jazz,Spy-movie style jazz
running music,Running music
motion walls,Motion - Walls
looking for music mainly in minor | indie,Looking for music mainly in minor (Indie)
bored with what i listen to,Bored with what I listen to
music that makes you hungry,music that makes you hungry?
other artists like grouplove and mother mother,Other artists like Grouplove and Mother Mother?
suggest some modern bass heavy funk soul music,suggest some modern bass heavy funk/soul music?
chavvy boom bap hiphop similar to fliptrix or jack jetson,Chavvy Boom Bap HipHop Similar to Fliptrix or Jack Jetson
recommend me similar songs like assassins creed 2 ost the madam to these please,Recommend me similar songs like (Assassins Creed 2 Ost- The Madam) to these please
help me pick 2 songs for a nurse capping and pinning ceremony,Help me pick 2 songs for a nurse capping and pinning ceremony.
songs like happy | by mudvayne,Songs like Happy? by Mudvayne
music that features the oboe,Music that features the Oboe?
looking for really chill jazz | old is good also | just if its very calm,Looking for really chill jazz. Old is good also. Just if it's very calm. =)
looking for more chill music like this what genre would you call it exactly | soul x jazz,"Looking for more chill music like this, what genre would you call it exactly? Soul x Jazz?"
drive away the brummies,"""Drive away"" - the brummies"
help me find songs that give me the following vibes,Help me find songs that give me the following vibes...
any other songs like glitter and gold from barns courtney,Any other songs like glitter and gold from barns courtney?
lo fi jazz infused hip hop | vocal or instrumental is fine,"Lo-Fi, Jazz Infused Hip Hop? Vocal or Instrumental is Fine."
ive recently gotten into more modern composers like nils frahm olafur arnalds + christian löffler | im a bit stuck as to where to go from here though | any suggestions,"I've recently gotten into more modern composers like Nils Frahm, Olafur Arnalds + Christian Löffler. I'm a bit stuck as to where to go from here though. Any suggestions?"
looking for nostalgic happy sad music,Looking for nostalgic happy/sad music
request | songs that sound like a bedtime song or campfire song with minimal instrumental and a creepy voice,[Request] Songs that sound like a bedtime song or campfire song with minimal instrumental and a creepy voice
simply red album recommendation please,Simply Red album recommendation please
looking for destruction ballads,Looking for destruction ballads
songs about accepting that you wont have the one you love,Songs about accepting that you won't have the one you love
looking for recommendations of songs similar to faygo dreams by 6 dogs,Looking for recommendations of songs similar to Faygo Dreams by 6 Dogs
the xx intro cover with male vocalist,"The XX ""Intro"" cover with male vocalist"
here are some artists that i like,Here are some artists that I like
looking for songs genres in this kind of style,Looking for songs/genres in this kind of style
political music,political music
pelican fly yovng vbec global,PELICAN FLY - YOVNG VBEC GLOBAL
looking for some blues,Looking for some blues
recommend more like this | john mayer neon,Recommend more like this? - John Mayer - Neon
looking for an artist similar to fkj,Looking for an artist similar to Fkj :)
something like the first eleven seconds of september,Something like the first eleven seconds of September?
looking for songs with a high pitched female singer,Looking for songs with a high-pitched female singer
guitar chill,Guitar Chill
bands albums that have songs similar in sound style to the fresh prince of belair intro and outro songs,Bands/albums that have songs similar in sound/style to the fresh Prince of Belair intro and outro songs?
songs w jungle y vibes or super cool suave vibes,songs w jungle-y vibes or super cool/suave vibes?
space lounge music similar to music out of the moon,Space Lounge music similar to Music Out of the Moon?
any good music in which the lyrics tell a story,Any good music in which the lyrics tell a story?
looking for sleek poignant songs like one way or another by until the ribbon breaks about a beautifully disturbing unrequited love or songs that capture the feeling of someone looking out for you in an almost menacing way,"Looking for sleek, poignant songs like ""One Way or Another"" by Until the Ribbon Breaks about a beautifully disturbing unrequited love or songs that capture the feeling of someone looking out for you in an almost menacing way"
acid jazz for intimacy,Acid Jazz for Intimacy
help me find ambient music,Help me find ambient music
songs that have a similar vibe to loud and heavy,Songs That Have a Similar Vibe to Loud and Heavy?
anything like diablo swing orchestra,Anything like Diablo Swing Orchestra?
songs like cowboy bebops tank,Songs like Cowboy Bebop's Tank!
something like summer camp,Something like Summer Camp...
songs like groove by torn,Songs like Groove by Torn
looking for artists similar to kaleo seasick steve hozier and johnny cash,"Looking for artists similar to Kaleo, Seasick Steve, Hozier and Johnny Cash"
music like sun araw,Music like Sun Araw
here are my favorite albums recommend me something similar,"Here are my favorite albums, recommend me something similar."
looking for a similar groove feeling as this,Looking for a similar groove/feeling as this.
song to play at a wedding,Song to play at a wedding
songs like this | supposedly its genre is progressive metal alternative metal,Songs like this? Supposedly its genre is Progressive Metal/Alternative Metal
beautiful albums to associate memories with,beautiful albums to associate memories with
what genre is this song | other songs like it,What genre is this song?/ other songs like it
looking for something like only just a dream nelly to help me feel sentimental about someone,"Looking for something like ""Only just a dream"" (Nelly) to help me feel sentimental about someone."
breakup songs that arent sad | any genre,Breakup songs that aren't sad? Any Genre!
trev case go for you,Trev Case - Go For You
abstract a promise ft roze,Abstract - A Promise ft. Roze
songs about being tempted to evil,songs about being tempted to evil?
whats good music to listen to on edibles,What's good music to listen to on edibles?
please help i have been looking for this song,Please help i have been looking for this song
my freind is making a nautical playlist and he wants songs that sound like this,My freind is making a nautical playlist and he wants songs that sound like this
need metal suggestions,Need Metal Suggestions
what kind of genre is this | noisia & evol intent long gone | original mix,What kind of genre is this? Noisia & Evol Intent – Long Gone (Original Mix)
looking for crushingly depressing albums | i love falsetto vocals,Looking for crushingly depressing albums. I love falsetto vocals.
looking for similar chill romance love songs like this,Looking for similar chill romance/love songs like this
songs that are in a constant crescendo,Songs that are in a constant crescendo ?
need blues albums with lots of slide guitar and harmonica like this preferably instrumental,"Need blues album(s) with lots of slide guitar and harmonica like this, preferably instrumental"
looking for music like this song | doesnt have to be christian like the song is,Looking for music like this song (doesn’t have to be Christian like the song is)
artists like sufjan stevens and neutral milk hotel,Artists like Sufjan Stevens and Neutral Milk Hotel?
i want more music similar to walter wanderleys its easy to say goodbye so that i can sit back and watch the world end in peace,"I want more music similar to Walter Wanderley's ""It's Easy To Say Goodbye"" so that I can sit back and watch the world end in peace"
looking for soothing trip hop electronic music with female vocals,Looking for soothing trip hop/electronic music with female vocals.
songs like the remix baauer did for nero wont you | be there,"Songs like the Remix Baauer did for Nero, Won't You (Be There)"
artists like kedr liviansky | heavy synth pop + girl vocals music,Artists like Kedr Liviansky (heavy synth/pop + girl vocals music)
recommend more of this,recommend more of this?
some similar bands to pad out a playlist,Some similar bands to pad out a playlist
any country songs that have the same sound feeling as gods country blake shelton,"Any country songs that have the same sound/feeling as ""Gods Country""-Blake Shelton?"
songs with a lot of vocal harmony,Songs with a lot of vocal harmony
any songs like flows like boss life by snoop dogg,Any songs like flows like Boss' life by Snoop Dogg?
please tell m3 songs similar to cold and 7up by boy in space, please tell m3 songs similar to Cold and 7Up by Boy In Space
looking for a creepy aesthetic of music,Looking for a creepy aesthetic of music
songs like devil has a name by i gor,"Songs like ""Devil has a name"" by I:Gor"
looking for a battle music like this one | any suggestions,Looking for a battle music like this one. Any suggestions?
songs similar to mona lisa by obb,Songs similar to Mona Lisa by OBB?
dark horror evil rap,Dark/horror/evil rap
artists similar to lil peep cold hart mysticphonk and brennan savage,"Artists Similar to Lil Peep, Cold Hart, mysticphonk and Brennan Savage"
pretty music in 3 4 like earth angel and françoise hardys tous les garçons et les filles,"Pretty music in 3/4 like ""Earth Angel"" and Françoise Hardy's ""Tous les garçons et les filles"""
looking for singer songwriters using electric guitars but without drums,Looking for singer/songwriters using electric guitars but without drums
looking for songs that incorporate work slave songs,"Looking for songs that incorporate ""work/slave songs"""
recommend some nice chinese asian style music,recommend some nice Chinese/Asian style music?
looking for melodic electronic indie synthpop type stuff,looking for melodic electronic/indie/synthpop type stuff
songs like hyper camelot,Songs like Hyper Camelot?
ion lil gut high school,iON LIL GUT - High School
looking for something in the exact same vibe as yr body is nothing by boy harsher,Looking for something in the exact same vibe as “yr body is nothing” by Boy Harsher
songs like this,Songs like this?
suggest lit hip hop rap albums,Suggest Lit Hip-Hop/Rap Albums
im looking for songs similar to igorrr robert,I'm looking for songs similar to Igorrr - Robert
maybe like mr bungle but without lyrics,Maybe like Mr. Bungle but without lyrics?
some surreal songs that have heavy bass,Some surreal songs that have heavy bass.
solo spanish classical guitar with gravitas to it,Solo Spanish/Classical Guitar with gravitas to it?
looking for songs that sound like the phd flopper jingle,"Looking for songs that sound like the ""PHD Flopper Jingle"""
rap over piano,Rap over Piano
so damn heavy | metal guitar,so DAMN heavy!!!!(metal guitar)
incredibly sad heart wrenching songs,"Incredibly sad, heart wrenching songs"
music that matches the vibe of this song,Music that Matches the Vibe of this Song
looking for something that sounds similar to the pantheon | aint gonna catch you,"Looking for something that sounds similar to ""The Pantheon (Ain't Gonna Catch You)"""
albums songs that make you feel paranoid,Albums/songs that make you feel paranoid
hi im looking for groups similar to cardigans or groups lead by a female singer | genre pop rock or alternative rock,"Hi, I'm looking for groups similar to cardigans or groups lead by a female singer (genre: pop rock, or alternative rock)"
superfly curtis mayfield,Superfly-Curtis Mayfield
i want some upbeat kickass energeticjoyful alternative music | i like alternative instrumentals thoughtful lyrics,"I want some upbeat kickass energetic'joyful' alternative music. I like alternative instrumentals, thoughtful lyrics."
stuff like boris pink album but without the singing,Stuff like Boris' Pink album but without the singing?
lo fi music to sleep to,Lo-fi music to sleep to
similar to kygo,Similar to Kygo?
im looking for songs similar to hero by skillet,I’m looking for songs similar to Hero by Skillet
like big thief or neutral milk hotel but british,Like Big Thief or Neutral Milk Hotel but British?
looking for some powerful emotive singers,Looking for some powerful emotive singers.
happy hopeful songs about pulling yourself out of depression,"Happy, hopeful songs about pulling yourself out of depression:)"
looking for dark progressive and atmospheric rock,Looking for Dark Progressive and Atmospheric Rock
what are some good remixes where the artist remixes his her own songs,What are some good remixes where the artist remixes his/her own songs?
laidback rap hip hop songs with good vocals like boredom and see you again by tyler the creator,Laidback rap/hip hop songs with good vocals like Boredom and See You Again by Tyler the Creator
songs that rubberband from happy to sad,Songs that rubberband from happy to sad
recommendations for music like this poolside remix of harvest moon neil young not sure what genre it fits into,Recommendations for music like this - Poolside remix of Harvest Moon (Neil Young) - not sure what genre it fits into
