preprocessed,original
looking for a song like darkthrone quintessence,Looking for a song like Darkthrone - Quintessence.
more songs like handsome boy modelling school ive been thinkin,More songs like Handsome Boy Modelling School - I’ve Been Thinkin’
i like mostly comedy songs,I like mostly comedy songs.
any songs like im sorry we lied by blood orange,any songs like I’m Sorry We Lied by Blood Orange?
what music do you listen to on the way in to work to shake the sleep out of you,What music do you listen to on the way in to work to shake the sleep out of you?
looking songs that are equally offensive and funny that are similar to these,Looking songs that are equally offensive and funny that are similar to these
i want to find more music where it is clear that the artist is extremely passionate but the song still has a nice beat that sounds nice,I want to find more music where it is clear that the artist is *extremely* passionate but the song still has a nice beat that sounds nice.
are there songs that sound similar to the intro of my right by screeching weasel,Are there songs that sound similar to the intro of My Right by Screeching Weasel?
desperate for new music,Desperate for new music
artists songs similar to this,Artists/Songs similar to this?
background music that isnt overused,Background music that isn't overused
rock album book club,Rock album book club
need music like this,Need music like this!
what is this genre called | i have heard it before,What is this Genre called? I have heard it before.
looking for any kind of rock,Looking for any kind of rock
recommend me some good jazz music please,"Recommend me some good Jazz music, please."
looking for a lovesong,Looking for a lovesong
music that utilizes dissonant chords and is often off beat random,Music that utilizes dissonant chords and is often off beat / random
looking for artists who make music similar to musical theater,Looking for artists who make music similar to musical theater?
albums like dreaming out loud by one republic,"Albums like ""Dreaming Out Loud"" by One Republic."
looking for more peaceful acoustic guitar songs like bron yr aur by led zeppelin or orchid by black sabbath,Looking for more peaceful acoustic guitar songs like Bron-Yr-Aur by Led Zeppelin or Orchid by Black Sabbath
the somber male vocals in metal screamo type music without the growling and screaming,The somber male vocals in metal / screamo type music... Without the growling and screaming.
charlie marhendrix popdelic wonderland,Charlie MarHendrix - Popdelic Wonderland
looking for music with a similar sound to i wanna be adored by the stone roses,Looking for music with a similar sound to I Wanna Be Adored by The Stone Roses
i like screamed vocals and really good prominent bass playing | what are some bands that have both,"I like screamed vocals and really good, prominent bass playing. What are some bands that have both"
music like rush blind guardian ronnie james dio pink floyd the doors,"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?"
i love the beat and delivery suggest anything similar,"I love the beat and delivery, suggest anything similar?"
im looking for a song about how someone is always destroying everything they loves,I'm looking for a song about how someone is always destroying everything they loves
can you recommend me similar songs to this one please,Can you recommend me similar songs to this one please?
late 70s and 80s era music,Late 70s and 80s era music
any songs that are good for listening on a 51 sound system | with lots of sound effects,Any songs that are good for listening on a 5.1 sound system? With lots of sound effects
instrumental piano music similar to jerry martins the sims build music,"Instrumental piano music similar to Jerry Martin's ""The Sims"" 'build' music"
need help finding slimier sounding artists,Need help finding slimier sounding artists.
request | looking for more similar music,[Request] Looking for more similar music
simple music with a good male singer | genre doesnt matter much but something that doesnt sound extremely overproduced or too busy,Simple music with a good male singer? Genre doesn't matter much but something that doesn't sound extremely overproduced or too busy.
looking for a band like nothing more soilwork textures or volumes | or a band like wagakki band,"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band."
im looking for noir crime jazz,I'm looking for Noir/Crime Jazz.
songs to sing in the car,Songs To Sing In The Car
60 70s mellow rock,60-70s mellow rock ?
i like acoustic or simple compositions of just 2 or 3 instruments without excessive effects added,I like Acoustic or simple compositions of just 2 or 3 instruments without excessive effects added.
is there any other songs like this you may want to recommend to me | its just a cold rainy night type feel,Is there any other songs like this you may want to recommend to me? It's just a cold rainy night type feel
songs with similar mood,Songs with similar mood
looking for songs with a haunting sense of love,Looking for songs with a haunting sense of love
instrumental orchestral movie scores similar the first half of all my life by the staves,Instrumental/orchestral/movie scores similar the first half of All My Life by The Staves?
songs like spin me right round | like a record,Songs like Spin Me Right Round (Like A Record)
emo bands please,Emo bands please
can you recommend something similar to this song of durin a cappella complete edition clamavi de profundis,Can you recommend something similar to this: Song of Durin A Cappella (Complete Edition) - Clamavi De Profundis
happy songs for my playlist,Happy Songs For My Playlist
some good new metal bands that dont fit into metalcore djent and similar genres,"Some good new metal bands that dont fit into metalcore, djent and similar genres"
soundtrack similar to chicago,Soundtrack similar to Chicago
english alternative rock electro songs suggestions | mukka russian band,ENGLISH Alternative rock/electro songs suggestions ? (MUKKA- Russian band)
christmas music,Christmas Music
music similar to omicide by vast,Music similar to Omicide by Vast?
japanese balades,Japanese Balades ?
softer songs sung by traditionally rock vocalists harsher voices with minimal instruments eg | lead me out of the dark,Softer songs sung by traditionally rock vocalists/harsher voices with minimal instruments (e.g. lead me out of the dark)
summery good mood indie pop songs,Summery good mood indie pop songs?
kody lavigne no room,Kody Lavigne - No Room
any music with ocarina or flute or both sounds blended with pop or electronic music,Any music with Ocarina or Flute (or both) sounds blended with pop or electronic.. music.
found a song by yoko kanno i absolutely love but i cant find anything similar any suggestions,Found a song by Yoko Kanno I absolutely love but I can’t find anything similar any suggestions?
find me a song or a playlist that is similar to this,find me a song or a playlist that is similar to this?
what genre is this and what are some similar tunes,What genre is this and what are some similar tunes?
waiting on the world to change john mayer | acoustic cover,Waiting On the World to Change - John Mayer (Acoustic Cover)
sik world i dont even know,Sik World - I Don't Even Know
songs like dance little liar by arctic monkeys,songs like dance little liar by arctic monkeys?
looking for songs similar to your future is not mine from adidas commercial,"Looking for songs similar to ""Your Future is Not Mine"" from Adidas Commercial?"
similar songs to look away by big country,Similar songs to - Look Away by Big Country
au bar des suicides pierre lapointe,"""Au Bar Des Suicides"" - Pierre Lapointe"
looking for more melodic dark music like dodies darker music,"Looking for more melodic, dark music like Dodie's darker music."
song like anderson paak come down,Song Like Anderson .Paak - Come Down
anything similar to una lady como tú by manuel torizo,Anything similar to Una Lady Como Tú by Manuel Torizo
looking for brostep suggestions preferably on bandcamp,"Looking for brostep suggestions, preferably on bandcamp."
similar music artist song to plastic heart nostalghia | john wick 2 soundtrack,Similar music/artist/song to Plastic Heart - Nostalghia (John Wick 2 soundtrack)?
i discovered this song when love was born by one voice childrens choir the other day and it has been in repeat in my playlist since then,"I discovered this song ""When love was born"" by One Voice Children's Choir the other day and it has been in repeat in my playlist since then."
what type of genre is this,What type of genre is this?
music that sounds like slowdive,Music that sounds like Slowdive?
i need a song similar to young mc know how that has spanish lyrics,I need a song similar to Young MC - Know How that has Spanish lyrics
suggestions for any french singing bands based on my taste,Suggestions for any French-singing bands based on my taste?
bassy synth trance stuff,Bassy Synth Trance Stuff?
im looking for music similar to the eichenwalde loading theme from overwatch,I'm looking for music similar to the Eichenwalde loading theme from Overwatch
looking for a song to perform as a cover in a band,Looking for a song to perform as a cover in a band
music like the birds of prey soundtrack,Music like the Birds of Prey soundtrack?
looking for 1930s style upbeat funny racoutious music hall type of songs like these that can be played on the piano,"Looking for 1930s style upbeat, funny, racoutious music hall type of songs like these, that can be played on the piano .."
good music preferably pop punk about someone becoming a monster and not being able to go back,good music (preferably pop punk) about someone becoming a 'monster' and not being able to go back.
albums for cold dark rainy days,"Albums for cold, dark, rainy days?"
looking for spanish bad bxtch vibes,Looking for Spanish Bad Bxtch Vibes
songs that have an irresistible syncopated hook like timbalands get your freak on and ugly,"Songs that have an irresistible, syncopated hook like Timbaland’s “Get Your Freak On” and “ugly”"
any suggestions for someone who likes the intro of narcos,"Any suggestions for someone who likes the intro of ""Narcos"""
5 albums for my sister,5 albums for my sister
looking for songs like thousand foot krutch be somebody,"Looking for songs like ""Thousand Foot Krutch - Be Somebody"""
im looking for songs similar to this | any help,I'm looking for songs similar to this. Any Help?
looking for something new,Looking for something new
gianni dibernardo summers mine,Gianni DiBernardo - Summers Mine
list of my favorite music,list of my favorite music....
do you know anything like mgmt m83 thats bouncy has a good bass and is kinda groovy,"Do you know anything like MGMT/M83 that’s bouncy, has a good bass, and is kinda groovy?"
music that sound like this entrance,Music that sound like this entrance.
k1aus one love,K1aus- One Love
any songs that without particularly sad lyrics overall feel that are much more instrumental than electronic preferably no autotune youd recommend,"Any songs that without particularly sad lyrics/overall feel, that are much more instrumental than electronic (preferably no autotune) you'd recommend?"
recommend some classic awesome songs for a playlist please,Recommend some classic awesome songs for a playlist please?
recommend me some new wave please,Recommend me some new wave please!!
songs similar to square hammer by ghost,Songs similar to Square Hammer by Ghost
looking for similar songs like moonbeam step into my world,"Looking for similar songs like ""Moonbeam - Step into my world"""
i like mgmt and lana del rey they both are really relaxing for me | what else would you suggest,"I like MGMT and Lana Del Rey, they both are really relaxing for me. What else would you suggest?"
repetitive instrumental electronic music like this neu | song,"repetitive, instrumental electronic music like this NEU! song."
songs similar to the ones in marvelous mrs maisel season 3,Songs similar to the ones in Marvelous Mrs Maisel Season 3
songs about standing up for yourself,Songs about standing up for yourself?
on the search for rock metal powerpop songs with a energetic or pump up feel | suggestions,On the search for Rock/Metal/Powerpop songs with a energetic or pump-up feel. Suggestions?
im looking for some country album like red dead redemption 2 soundtrack,Im looking for some country album like red dead redemption 2 soundtrack
any artists similar to joji miller,Any artists similar to Joji Miller?
looking for music similar to this background track | electronic,Looking for music similar to this background track..(electronic)
songs like high by peking duk ft nicole millar,Songs like High by Peking Duk ft. Nicole Millar
albums and songs for someone who liked currents by tame impala,Albums and songs for someone who liked Currents by Tame Impala
songs like i keep looking for you or seeing you around | wanting to see you,"Songs like "" I keep looking for you"" or seeing you around? Wanting to see you?"
i love the beat behind stormzys vossi bop similar suggestions,"I love the beat behind Stormzy's Vossi Bop, similar suggestions?"
my pop choir need some music suggestions help please,"My ""Pop choir"" need some music suggestions, help please?!"
are there any other songs similiar to the whistle song by netsky | riot jazz brass band,are there any other songs similiar to The Whistle Song - by Netsky (Riot Jazz Brass Band)
looking for music similar to this song for a playlist,Looking for music similar to this song for a playlist.
sounds like nirvana but just the drum and bass,"Sounds like Nirvana, but just the drum and bass"
looking for creepy covers of songs,Looking for creepy covers of songs
pop songs with good bass lines like candy by doja cat,Pop songs with good bass lines like Candy by Doja Cat?
the doors universal mind,The Doors: Universal Mind
looking for similar jaden on my own ft kid cudi,Looking for similar Jaden - On My Own ft Kid Cudi
bands that have the same vibes at health,Bands that have the same vibes at Health
not sure what im looking for but its not elvis,Not sure what I'm looking for but it's not elvis
trying to listen to more music,Trying to Listen to More Music
any suggestions for melodic house remixes like this one cinematic orchestra to build a home | kopa remix,any suggestions for melodic house remixes like this one (Cinematic Orchestra - To Build A Home (Kopa Remix)?
can you please give me a list of lofi songs or songs in general that have her movie samples in it,Can you please give me a list of Lofi songs or songs in general that have Her movie samples in it?
looking for chill beach house music,Looking for chill/beach house music
looking for psy dub albums tracks with a slow oldschool reggae dub vibe without too much complicated sounds and effects,Looking for Psy-dub albums/tracks with a slow oldschool reggae/dub vibe without too much complicated sounds and effects.
workout music 2020 workout hits 2020,Workout Music 2020 - Workout Hits 2020
music with non english female vocals that sound similar to these examples,Music with non-english female vocals that sound similar to these examples
looking for songs similar to best intentions by hodera,Looking for songs similar to “Best Intentions” by Hodera
looking for prog rock prog metal similar to tool,Looking for Prog Rock/Prog metal Similar to Tool
recommend me the best acoustic covers of rock songs youve ever heard,Recommend me the best acoustic covers of rock songs you've ever heard!!
songs or artists similar to ron pope,Songs or Artists similar to Ron Pope?
house music like these sets,House music like these sets
request | love songs with a desperately in love i would kill for you type vibe,[Request] love songs with a desperately in love “I would kill for you” type vibe
more jazz songs with this style of signing,More Jazz songs with this style of signing?
this one is called gladiator by zayde wolf,This one is called gladiator by zayde wolf
looking for some new bands to listen to,Looking for some new bands to listen to
im looking for songs like beautiful by hedley | any suggestions,"Im looking for songs like ""beautiful"" by hedley. Any suggestions?"
addicted to gone gone thank you in igor by tyler and im looking for songs albums that sound like it,"Addicted to “GONE, GONE / THANK YOU” in IGOR by Tyler, and I’m looking for songs/albums that sound like it."
i am new to edm would like suggestions based off of one specific song i really dig,"I am new to EDM, would like suggestions based off of one specific song I really dig"
musical inspiration help,Musical Inspiration Help?
music genres that have 5 or more bars,Music genres that have 5 or more bars
any more fire like this,Any more fire like this?
something songs or groups similar to country of the future by mirah,"Something (songs or groups) similar to ""Country Of The Future"" by Mirah?"
artists like jon bellion,Artists Like Jon Bellion?
songs like fight back | from neffex,Songs like Fight Back (from Neffex)
music with guitar like zedd happy now,Music with Guitar like Zedd - Happy Now
im looking for songs like these | starts soft builds throughout ends hard | basically a cinematic version of regular songs,I'm looking for songs like these. Starts soft builds throughout ends hard. Basically a cinematic version of regular songs.
im completely addicted to this song know anything similar | or atleast as catchy,I'm completely addicted to this song... Know anything similar? or atleast as catchy?
any similar songs like pray alok | ft conor maynard,Any similar songs like Pray - Alok (ft. Conor Maynard)?
looking for some sad song suggestions,Looking for some sad song suggestions
song similar like under the water aurora and hit and run lolo,Song Similar like Under The Water - AURORA and Hit and Run - LOLO
songs similar to monster mash,Songs similar to Monster Mash?
looking for some synthy psychedelic music | similar to tame impalas currents or mac demarcos chamber of reflection,Looking for some synthy psychedelic music. Similar to Tame Impala's Currents or Mac Demarco's Chamber of Reflection
jon hopkins the wilder sun | what genre this is where to find more,Jon Hopkins - The Wilder Sun. what genre this is/where to find more?
the meatbodies | alice album,The Meatbodies (Alice Album)
i felt love with this chords | looking for similar once,I felt love with this chords. Looking for similar once.
any more good 20s 30s chillhop remixes like this,Any more good 20s-30s chillhop remixes like this?
music similar to title fight hyperview,Music similar to Title Fight - Hyperview
looking for musical esque bad guy songs,Looking for musical-esque bad guy songs.
middle eastern + synth combo,Middle Eastern + Synth combo
overstimulated by music please help,"Overstimulated by music, please help"
music like nominal everyday anyone,"Music like ""Nominal - Everyday Anyone"""
looking for song suggestions,Looking for Song Suggestions
looking for something like stickerbush symphony from donkey kong country 2,Looking for something like Stickerbush Symphony from Donkey Kong Country 2
looking for songs like keep your eyes peeled by qotsa,"Looking for songs like ""Keep your Eyes Peeled"" by QOTSA"
circles by post malone is one of my new faves and i need more like it,"Circles by Post Malone is one of my new faves, and I need more like it."
indie soft rock folk suggestions,indie/soft rock/folk suggestions?
groovy remixes of 80s songs,Groovy remixes of 80s songs?
rocket league like edm electronic music,Rocket League-Like EDM/Electronic music
songs like end credits by eden,Songs like End Credits by EDEN?
happy acoustic songs,happy acoustic songs?
music similar to ride across the river,Music similar to Ride Across The River
looking for similar songs to feeling good by michael buble,Looking for similar songs to 'Feeling Good by Michael Buble
suggestions for music with a matrix vibe,"Suggestions for music with a ""Matrix"" vibe"
nostalgic songs in english or spanish,Nostalgic Songs in English or spanish.
any songs similar to castle by halsey,Any songs similar to Castle by Halsey?
any tracks like this one,Any tracks like this one?
so netflixs beastars has epic op would like to find more like that,"So Netflix's Beastars has epic OP, would like to find more like that"
softer songs by heavier bands,Softer songs by heavier bands
any suggestions of sexy bluesy jazzy songs like out of my mind by john mayer,Any suggestions of sexy bluesy/jazzy songs like Out of My Mind by John Mayer?
songs like this | poetry how does it feel | by akua naru | jazz spoken word,Songs like this? Poetry: How Does It Feel? by Akua Naru (Jazz- Spoken Word)
looking for high rhythm gym music any help,"Looking for high rhythm gym music, any help?"
music like john mayers paradise valley & born and raised,Music like John Mayer's Paradise Valley & Born and Raised
im looking for a specific kind of music,I’m looking for a specific kind of music
similar songs to story of my life and or high hopes,"Similar songs to ''Story of My Life'' and/or ''High Hopes""?"
i am looking for a good rap song | like somthing really emotional,I am looking for a good rap song. Like somthing really emotional
suggestions for music that makes you nostalgic about being a teenager,Suggestions for music that makes you nostalgic about being a teenager?
i need songs that are just as beautiful as first love late spring by mitski,I need songs that are just as beautiful as “First Love / Late Spring” by Mitski
songs that hit you in the heart,Songs that hit you in the heart
albums similar to santanaworld by tay k,Albums similar to Santanaworld by Tay-K?
what are some songs with a happy rock punk sort of vibe similar to pages and paragraphs by set it off or the anthem by good charlotte,"What are some songs with a “happy rock/punk” sort of vibe similar to “Pages and Paragraphs” by Set It Off, or “The Anthem” by Good Charlotte?"
country tunes outlaw music | these are my favorites please suggest more,"Country tunes / Outlaw music. These are my favorites, please suggest more..."
i need music for my friend,I NEED music for my friend.
songs like time to say goodbye andrea bocelli ft sarah brightman,Songs like Time To Say Goodbye- Andrea Bocelli ft sarah brightman.
african music similar to this | background music,African music similar to this (background music).
looking for bands like moon hooch and too many zooz,Looking for bands like Moon Hooch and Too Many Zooz
artists like specii | romanian hip hop,Artists like Specii (romanian hip-hop)
looking for some new metal to jam | extremely picky sorry,"Looking for some new metal to jam (extremely picky, sorry!)"
similiar to thom yorke and floex,Similiar to Thom Yorke and Floex
dré anthony dice,Dré Anthony - Dice
great instrumental music,Great Instrumental Music
sad songs,sad songs
i need deep house song recommendations,I need Deep House song recommendations
im looking for songs with a similar sound to the intro of photomaton by jabberwocky,I'm looking for songs with a similar sound to the intro of Photomaton by Jabberwocky.
suggest me musics like these ones,suggest me musics like these ones!!!
recommend artists songs that remind you of paris,recommend artists/songs that remind you of Paris?
need some comeback music,Need some comeback music
i am looking for good albums,I am looking for good albums.
punk & rock music with very pronounced heavy bass guitar,Punk & rock music with very pronounced/heavy bass guitar?
old school hip hop with ambient wavy or futuristic sounding beats,"old school hip-hop with ambient, wavy or futuristic sounding beats"
polish canadian folk rock olenka and the autumn lovers,Polish-Canadian Folk Rock - Olenka and the Autumn lovers.
sad songs with a quicker beat rap,Sad songs with a quicker beat/rap
song about asking questions,Song about asking questions.
looking for downtempo ethereal synthpop,Looking for downtempo ethereal synthpop
looking for cyberpunk y music like spoiler or clockwork by hyper,Looking for cyberpunk-y music like Spoiler or Clockwork by Hyper
any suggestions for songs that are kinda chill sadvibe or something like that,any suggestions for songs that are kinda chill sadvibe or something like that...
songs similar to japanese ceremonial tea | interlude,Songs similar to Japanese Ceremonial Tea (Interlude)
looking for a specific theme,Looking for a specific theme.
looking for situation music,"Looking for ""situation"" music"
need to find song like ex cops black soap,Need to find song like Ex Cops - Black Soap
most unique artists bands,Most unique artists/bands
looking for artists similar to daft punk,Looking for artists similar to Daft Punk.
looking for some jazz with funky bass,Looking for some Jazz with funky bass
any more songs that have a similar instrumental tune like this | i am more focused on the tune here than the wording,Any more songs that have a similar instrumental tune like this? (I am more focused on the tune here than the wording.)
id love to learn new songs that have a happy upbeat vibe like lean on from major lazer and mø,"I'd love to learn new songs that have a happy, upbeat vibe, like Lean on from Major Lazer and MØ."
looking for music suggestions for my 11 year old daughter for xmas,Looking for music suggestions for my 11 year old daughter for xmas.
looking for songs like cuphead rap,"Looking for Songs Like ""Cuphead Rap"""
any bands like fish era marillion,Any bands like fish era marillion?
