preprocessed,original
similar songs to candy castle by glass candy,Similar songs to Candy Castle by Glass Candy
slowdance suitable music about rejection,Slowdance-suitable music about rejection?
songs similar to sweet life by frank ocean and the palisades by childish gambino,Songs similar to Sweet Life by Frank Ocean and The Palisades by Childish Gambino
similar songs to kami,Similar songs to KAMI
any songs like are you in the mood | by bay faction,any songs like ‘Are You In The Mood?’ by Bay Faction??
recommend me more music like this | amazing whatever genre this is,recommend me more music like this? Amazing whatever genre this is!
looking for something similar to swans,Looking for something similar to Swans
looking for sad lovesongs,looking for sad lovesongs
looking for music like a specific song,Looking for music like a specific song...
anything pls,Anything pls
please help me find more songs like this,Please help me find more songs like this
seeking anthems | quite or loud all it has to do is be epic and make you stop what youre doing and listen | all genres and artists welcome u2 to gloria gaynor to queen to monica | what makes you pump your fist,"Seeking anthems. Quite or loud, all it has to do is be epic and make you stop what you're doing and listen. All genres and artists welcome, U2 to Gloria Gaynor to Queen to Monica. What makes you pump your fist?"
metal hard rock with female lead vocalists,Metal/hard rock with female lead vocalists
juice wrld motions | 999,Juice WRLD - Motions (999)
looking for music similar to gary bartz ntu troop celestial blues,Looking for music similar to “Gary Bartz Ntu Troop - Celestial Blues”
looking for bogan music,Looking for bogan music
music that is about admiration of a woman,Music that is about admiration of a woman?
chill bops for my playlist,chill bops for my playlist
i hate most rap and hip hop but want to get more into the genre,"I hate most rap and hip-hop, but want to get more into the genre"
alternative r&b music,Alternative R&B music
looking for rap gospel orchestral funk blends,Looking for rap/gospel/orchestral/funk blends!
looking for rock indie albums that are spacey melodic and atmospheric with bluesy electric guitars,"Looking for rock/indie albums that are spacey , melodic and atmospheric with bluesy electric guitars?"
looking for some sad bluesy guitar tracks,Looking for some sad bluesy guitar tracks
songs bands similar to sales getting it on off and on and porches mood,"Songs/Bands similar to Sales -getting it on, off and on and Porches -mood"
looking for more metal bands songs like make them suffer,"Looking for more metal bands/songs like ""Make Them Suffer""?"
youngblood by 5 seconds of summer,Youngblood by 5 seconds of summer
i wanted a list of songs based on nihilism or death,I wanted a list of songs based on nihilism or death
music like dexy midnight runners come on eileen and men at works land down under,Music like Dexy Midnight Runner's 'Come on Eileen' and Men at Work's 'Land Down Under'
japanese folk rock or folk metal instrumentals,Japanese Folk Rock or Folk Metal Instrumentals
songs like cherokee by kamasi washington,"Songs like ""Cherokee"" by Kamasi Washington"
catchy japanese tune,Catchy Japanese tune...
looking for something by a contemporary artist with an amy winehouse feel,Looking for something by a contemporary artist with an Amy Winehouse feel...
similar songs to this | quiet with slow melody | quake ost,Similar songs to this? Quiet with slow melody. Quake OST
looking for love songs that arent shallow,Looking for love songs that aren't shallow
music that sounds or compliments rain,Music that sounds or compliments rain?
songs similar in sound to the live versions of who will save your soul by jewel,Songs Similar in Sound to the live versions of Who Will Save Your Soul by Jewel
trying to find songs with a similar tone and sound to the metallica all within my hands acoustic shows,Trying to find songs with a similar tone and sound to the Metallica All within my hands acoustic shows
what wu tang album to go listen to after 36 chambers,What Wu Tang album to go listen to after 36 chambers?
looking for more ambient electronic like this,Looking for more Ambient Electronic like this
songs similar to the look by roxette,Songs similar to The look by roxette
suggest songs like,Suggest songs like...
looking for energetic chiptune,Looking for energetic chiptune
very specific request | one sided love related | help appreciated,Very specific request. One-sided love-related. Help appreciated
any remixed rap songs like this one that i should give a listen,Any Remixed Rap songs like this one that I should give a listen?
looking for songs similar to this lexa terrestrial mix moreso the beat than lyrics,Looking for songs similar to this 'Lexa Terrestrial' mix. Moreso the beat than lyrics.
music similiar to lemmino infinity,Music similiar to LEMMiNO - Infinity
looking for music similar to some of the songs on the soundtrack of the show dark,Looking for music similar to some of the songs on the soundtrack of the show Dark
looking for more like this jam from gta vice city | yo te miré,Looking for more like this JAM from GTA Vice City ('Yo Te Miré')
tropical house chill house,Tropical House Chill House
i love this track but dont know where what genre to look for,I love this track but don't know where/what genre to look for...
suits soundtrack and similar music,Suits Soundtrack and similar music
got any recommendations rap metal hip hop pop hard rock or rock songs,"got any recommendations rap,metal, hip-hop,pop, hard rock or rock songs"
kate bush and ivan neville suggestions specific to two songs,"Kate bush and Ivan Neville suggestions, specific to two songs."
sorta synthwave ish | more info in body,Sorta synthwave-ish (more info in body)
sad screamo songs,Sad screamo songs?
drizzly sunday type songs,Drizzly Sunday type songs
songs with vague or confusing lyrics,songs with vague or confusing lyrics
ambient music like this,Ambient music like this?
creepy sexy songs like all time low nin,"Creepy/sexy songs like ""All Time Low"" NIN?"
more music variety similar to,More Music Variety Similar To..
need a suggestions of instrumentals that will hype you up,Need a suggestions of instrumentals that will hype you up
motley crue kickstart my heart,Motley Crue - Kickstart My Heart
something similar to agar agar prettiest virgin | bass synth,Something similar to Agar Agar - Prettiest Virgin (bass synth)
metal or rock music associated with traditional instruments,Metal or Rock music associated with traditional instruments
any band solo artist whose main instrument is the bass guitar instead of the guitar | as in the bass replaces the guitar,"Any band/solo artist whose main instrument is the bass guitar instead of the guitar? As in, the bass replaces the guitar."
new modern rock that isnt angry emo hipstery or trying to sound electronic pop hip hop,"New / modern rock that isn't angry, emo, hipstery or trying to sound electronic/pop/hip hop"
songs like trampoline by shaed or i feel like im drowning by two feet,Songs like Trampoline by SHAED or I feel like I'm drowning by Two feet?
kikagaku moyo masana temples,Kikagaku Moyo - Masana Temples
i liked bowies blackstar | what should i listen to next,"I liked Bowie's ""Blackstar."" What should I listen to next?"
looking for songs similar to the new guilty gear theme,Looking for songs similar to the new guilty gear theme
i like best part by her drifting away by khai dreams and drowning | by eden | looking for newer maybe underrated artists with a similar style but any suggestion is appreciated,"I like Best Part by H.E.R, Drifting Away by khai dreams, and drowning. by EDEN. Looking for newer maybe underrated artists with a similar style, but any suggestion is appreciated!"
some good house music | i dont really listen to any and idk any popular artists other than zedd,"Some good “house” music? I don’t really listen to any, and idk any popular artists other than Zedd."
60s 70s lyric driven,60s/70s Lyric-driven
old joji pink guy sounding dudes,Old joji/Pink Guy sounding dudes
more sad drunk country punk like spider bags first album,"More sad, drunk country punk like Spider Bags first album"
looking for similar music to the detroit become human ost,Looking for similar music to the Detroit: Become Human OST.
instrumental heavy metal industrial | style similar to tool nin gravity kills,"Instrumental Heavy Metal / Industrial? (Style similar to Tool, NIN, Gravity Kills)"
new music recommendations based on 15 songs i like,New music recommendations based on 15 songs I like?
music similar to my body is a cage by arcade fire,"Music Similar to ""My Body is a Cage"" by Arcade Fire"
looking for wistful melancholy peaceful instrumental music,Looking for wistful/melancholy/peaceful instrumental music
music similar to the dark side of phobos,Music similar to The Dark Side of Phobos?
warm and ambient but with the spaciousness and night feel of dark jazz,"Warm and ambient, but with the spaciousness and 'night' feel of dark jazz?"
looking for artists that produce music like the song about her from kill bill vol 2,Looking for artists that produce music like the song 'About Her' from Kill Bill Vol. 2
i need some french songs that bop similar to amour plastique videoclub,I need some french songs that bop - similar to amour plastique - videoclub
need more songs like this,Need more songs like this.
songs similar to move sleepy tom,Songs similar to Move - Sleepy Tom
similar songs like dis,similar songs like dis?
looking for music similar to this artist song | moses sumney plastic,Looking for music similar to this artist/song. Moses Sumney-Plastic
hip hop vocals with a funk style beat,Hip hop vocals with a funk style beat?
creepy music,Creepy music?
songs like tv on the radio dlz,Songs like TV On The Radio - DLZ
looking for some slick dark funky rock | the song that inspired this question was actually i might be wrong by radiohead,"Looking for some slick, dark, funky rock. The song that inspired this question was actually I Might be Wrong by Radiohead."
symphonic power metal with crisp intelligible vocals,Symphonic/Power Metal with Crisp (intelligible) Vocals?
looking for a song in similar structure to grave of the fireflies home sweet home,"Looking for a song in similar structure to ""Grave of the Fireflies - Home Sweet Home"""
looking for songs with similar sounds to guitar at start of song | 0 12 | 0 18,"Looking for songs with similar sounds to guitar(?) at start of song (0:12), (0:18)"
looking for new wave alt rock indie punk rock songs,Looking for new wave/alt rock/indie/punk rock songs
help me find a genre that is country + synth,Help me find a genre that is country + synth ?
looking for sad emotional rock or metal,Looking for sad/emotional rock or metal
whats some good country music that isnt about trucks and cold beers,What's some good country music that isn't about trucks and cold beers?
hip hop instrumental beats,Hip Hop Instrumental Beats
all off refrain boy,ALL OFF - Refrain Boy
looking for suggestions for rap hip hop songs that dont have a too negative a theme or arent explicit,Looking for suggestions for rap/hip-hop songs that don't have a too negative a theme or aren't explicit
artists similar to noisia or tiësto,Artists similar to Noisia or Tiësto?
songs adults like that can be played in a classroom of 8yr olds,Songs adults like that can be played in a classroom of 8yr olds?
oloff i found myself,Oloff - I Found Myself
frank zappa music for a primus fan,Frank Zappa music for a Primus fan
songs like hate to see your heart break by paramore ft joy williams,songs like Hate to See Your Heart Break by Paramore ft Joy Williams
post breakup,Post breakup
artists like yuki kajiura,Artists like Yuki Kajiura
is this a specific kind of jazz | i really like the simplicity and how smooth it sounds,Is this a specific kind of jazz? I really like the simplicity and how smooth it sounds
searching for something similar,Searching for something similar
artist or songs like r&b soul or r&b funk,Artist or Songs like R&B/Soul or R&B/Funk?
something similar to the warhammer 40k mechanicus soundtrack,Something similar to the Warhammer 40K mechanicus soundtrack
acoustic guitar songs for the elderly,Acoustic guitar songs for the elderly?
looking for slow placed acid relaxing music just like this,"Looking for slow placed, acid, relaxing music just like this"
looking for music similar to this techno house music with long basslines and nice melodies,Looking for music similar to this - Techno/House music with long basslines and nice melodies
sad music,Sad music? Lol
looking for rock songs with heavy emotions and deeper meanings like the cranberries zombie & yeah yeah yeahs maps,"Looking for rock songs with heavy emotions and deeper meanings like The Cranberries ""Zombie"" & Yeah Yeah Yeahs ""Maps"""
looking for something that haves the same vibe as this song,Looking for something that haves the same vibe as this song
im looking for some new instrumental only stuff,I'm looking for some new instrumental-only stuff.
making a playlist with some high energy songs and looking for some gems,Making a playlist with some high energy songs and looking for some gems
scremy dnb | very hard to explain briefly help,"""Scremy"" DnB? Very hard to explain briefly - Help!"
where can i find more heavy synth like this,Where can I find more heavy synth like this?
rap songs that have tons of passion in them,Rap songs that have tons of passion in them.
music that moves you,Music That Moves You?
looking for music thats similar to cat thruster by deadmau5 and also reclaim the balcony or da mess sticks by nightmares on wax,"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax"
need workout music,Need workout music
electronic perhaps electro house mixed with french female rapping,Electronic (perhaps electro house?) mixed with french female rapping.
looking for more awesome beatles rap mashup albums like this,Looking for more awesome Beatles rap mashup albums like this
looking for 80s song with feeling of radioheads reckoner,"Looking for 80s song with feeling of Radiohead's ""Reckoner"""
music like scala & kolacny | choral renditions covers of songs,Music like scala & kolacny? (choral renditions/covers of songs)
any dnb songs or artists that similar to this,Any dnb songs or artists that similar to this
a song similar to depeches mode work it out,A song similar to depeche's mode ''work it out''
slow low and powerful,"Slow, Low, and powerful."
any other songs like leonards cohen you want it darker,"Any other songs like Leonards Cohen ""you want it darker""?"
looking for chill sad female vocalists with pretty instrumentals | i guess its technically classified as electronic indie alternative pop | its kind of hard to describe what im looking for,looking for chill sad female vocalists with pretty instrumentals. i guess it’s technically classified as electronic/indie/alternative/pop. it’s kind of hard to describe what i’m looking for.
artists similar to george harrison jimi hendrix etc,"Artists similar to George Harrison, Jimi Hendrix, etc."
looking for similar songs and genre to mat zo too late | matt lange remix,Looking for similar songs and genre to Mat Zo - Too Late (Matt Lange Remix)
new bands that will change my life,New Bands That Will Change My Life
songs or music that can flex the subwoofer cone hard but still sound good to ears | less noise,"Songs or Music that can flex the subwoofer cone hard, but still sound good to ears (less noise)?"
alternative hip hop,Alternative Hip Hop
looking for music like sam smiths writing on the wall,Looking for music like sam smith's writing on the wall.
im looking for new orleans style music bands fun uplifting makes you want to dance type jazz,"I’m looking for New Orleans style music/bands, fun, uplifting makes you want to dance type jazz?"
bands performing covers of electronic classics,Bands performing covers of electronic classics
looking for rock songs in the minor key,Looking for rock songs in the minor key
soft cuban love songs,Soft Cuban Love Songs
music suggestions for a playlist,Music suggestions for a playlist?
looking for music similar to a song,Looking for music similar to a song
music similar to kung fu panda soundtrack,Music similar to kung fu panda soundtrack.
songs like thanks for your time by gotye,Songs like ‘Thanks for Your Time’ by Gotye?
trying to make a working out playlist | high energy trap beats do it for me and im looking for suggestions,Trying to make a working out playlist. High energy trap beats do it for me and i'm looking for suggestions.
into rap need new suggestions,"Into rap, need new suggestions"
looking for music suggestions,Looking for music suggestions.
chinese man indi groove | similar tunes vibes,Chinese Man- Indi Groove. similar tunes/vibes?
some of my favorite bands include procupine tree and radiohead but ive ran out of new stuff to listen to | any suggestions,"Some of my favorite bands include Procupine tree and Radiohead, but I've ran out of new stuff to listen to. Any suggestions?"
more songs like,More songs like:
any sailor pirate violin celtic request,Any sailor/pirate/violin/celtic request ?
any songs similair to this,any songs similair to this?
something like deftones adrenaline,Something like Deftones' Adrenaline
im looking for songs that are exactly like this carpenter brut beware the beast,I'm looking for songs that are exactly like this Carpenter Brut - Beware The Beast
help me find songs genre similar to this,help me find songs/genre similar to this?
braveheart end credits choral section,Braveheart End Credits - Choral Section
songs similar to she will be loved by maroon 5,"Songs similar to ""she will be loved"" by Maroon 5"
these female rappers are power,These female rappers are power..
looking for a similar sound,Looking for a similar sound
music like bridge of light from laura craft go,"Music like ""Bridge of Light"" From Laura Craft Go"
looking for dark and or somber disco,Looking for Dark and/or Somber Disco
any piano heavy rock ballads similar to jim steinman songs,Any piano-heavy Rock Ballads similar to Jim Steinman songs?
looking for the ultimate pump up song,Looking for the ultimate pump up song.
need help finding sad songs,Need help finding sad songs
looking for songs like borderline from tame impala,"Looking for songs like ""Borderline"" from Tame Impala"
gianni taylor old me | ft ollie joseph,Gianni Taylor - Old Me (ft. Ollie Joseph)
songs similar to define by dom dolla,Songs similar to Define by Dom Dolla
any similar songs with brother matt corby,Any similar songs with Brother - Matt Corby
upbeat ish cool songs suggestion,Upbeat ish cool songs suggestion?
looking for music like jump up super star jazzy lots of brass instruments with large band,"Looking for music like ""Jump Up, Super Star"" Jazzy, lots of brass instruments, with large band."
looking for a genre i cant put a name to,Looking for a genre I can't put a name to
any full albums like the first song on this album | nsfw album art,Any full albums like the first song on this album? NSFW album art
this might be a shot in the dark but im looking for some kind of break up song about realizing your partner is abusive | pop indie alternative rock idc,"This might be a shot in the dark, but I’m looking for some kind of break up song about realizing your partner is abusive (pop, indie, alternative, rock, idc)"
lokking for alternative metal like deftone and soundgarden with eerie sounding melody,Lokking for alternative metal like Deftone and Soundgarden with eerie sounding melody
looking for music similar to the first 35 seconds of father stretch my hands pt 1 eg gospel,"Looking for music similar to the first 35 seconds of 'Father Stretch my Hands Pt 1', e.g. Gospel"
artists similar to this,artists similar to this
looking for slower songs with thick bass guitar,Looking for slower songs with thick bass guitar
any love for punk post hardcore,Any love for punk/ post-hardcore?
need new rap music,Need new rap music
dantes creek by they,Dantes creek by THEY.
caleb cruise do my dance prod | taylor king,Caleb Cruise - Do My Dance (Prod. Taylor King)
music suggestions while coding,Music suggestions while coding?
any suggestions this is my playlist i like most things except country,"Any suggestions this is my playlist, I like most things except country"
looking for more music,Looking for more music
anything similar to gorillaz,Anything similar to Gorillaz?
smile empty soul leave a light on,Smile Empty Soul - Leave a Light On
bands similar to arctic monkeys,Bands similar to Arctic monkeys
dopamine rush song,dopamine rush song??
anything similar vibe to this acoustic pvris ep,Anything similar vibe to this Acoustic PVRIS EP?
music like beach house slow dive,Music like Beach House/Slow dive
i just found this song that i really want more of,I just found this song that I really want more of.
looking for grand orchestral based theatrical sounding music,"Looking for grand, orchestral-based, theatrical sounding music"
similar songs to this masterpiece,Similar songs to this masterpiece
songs albums musicians that sound like burial,Songs/albums/musicians that sound like Burial?
most underrated song of 2018,MOST UNDERRATED SONG OF 2018
any songs for a good drumming workout,Any songs for a good drumming workout?
is there music that is similar to the first 5 seconds of this song,Is there music that is similar to the first 5 seconds of this song?
looking for music like,Looking for music like...
looking for more ska punk or reggae rock songs and bands,Looking for more ska punk or reggae rock songs and bands
big gigantic all of me feat | logic & rozes,Big Gigantic - All Of Me (Feat. Logic & Rozes)
2000s nostalgic guitar songs,2000's nostalgic guitar songs
looking for music similar to peter gabriel 4 security,Looking for music similar to Peter Gabriel 4: Security
music for parents over 30,Music for parents over 30
songs similar to the ending part of bbno$ nursery,Songs similar to the ending part of bbno$ - Nursery
any red hot chilli pepperish rock band,Any Red Hot Chilli Pepper’ish rock band?
looking for music similar to the first 45 seconds of the music video for alone pt 2 by alan walker,Looking for music similar to the first 45 seconds of the music video for Alone Pt. 2 by Alan Walker
in need of romantic songs | rap and metal romantic songs,In need of romantic songs! ...rap and metal romantic songs...
some electronic funk music similar to louis coles stuff,Some electronic/funk music similar to Louis Cole's stuff?
songs like these | songs for adults that sound like kids songs,Songs like these? Songs for adults that sound like kids songs.
hip hop rap music recommendations,Hip Hop/Rap music recommendations
similar album to love & theft by bob dylan,Similar Album to Love & Theft by Bob Dylan
need more music like this moody melancholic almost dramatic nightly music | i love parov and this is so different from his other stuff,"Need more music like this, moody, melancholic almost dramatic nightly music. I love Parov, and this is so different from his other stuff"
good fall autumn music,Good fall/autumn music
looking for music similar to tahiti by weird party,Looking for music similar to 'Tahiti' by Weird Party
latenight music recommendations,Latenight Music recommendations
bands like rage against the machine for a death metal fan,Bands like Rage Against the Machine for a death metal fan
something similar to night flight quintus project and no happy endings tangerine dream,Something similar to Night Flight - Quintus Project and No Happy Endings - Tangerine Dream
just played this game and love this track | looking for songs like it its very 80s,Just played this game and love this track. Looking for songs like it - its very 80s.
music like juice wrld and lil uzi vert,Music like juice WRLD and Lil uzi vert
looking for more western styled instrumental songs like this one | help,Looking for more western styled instrumental songs like this one (HELP)!
riddim edm dubstep whatever,Riddim/EDM/Dubstep/whatever
similar to rudimental,Similar to Rudimental?
bluegrass clog dancing,Bluegrass clog dancing
any suggestions for songs like this | im not looking for synthwave like normal perturbator carpenter brut gost etc | im looking for songs and or artist that do specifically this kind of songs with the chill jazzy yet futuristic mood,"Any suggestions for songs like this? I'm not looking for synthwave like normal Perturbator, Carpenter Brut, GosT etc. I'm looking for songs and/or artist that do specifically this kind of songs with the chill jazzy yet futuristic mood."
shoegazing genre of music i think,Shoegazing genre of music I think?
late 40s early 50s western music,Late ‘40s Early ‘50s Western Music
looking for songs music with a strong ambient feel to it,"Looking for songs/music with a strong ""ambient feel"" to it"
i like music with slide guitar in it a lot,I like music with slide guitar in it a lot.
more like lamb of god | groove thrash metal,"More like Lamb of God [Groove, Thrash Metal]"
electro swing songs with big brass sound,Electro swing songs with big brass sound
aint no sunshine by matt andersen looking for more performances like this where the artist pours every ounce of their being into the song,Ain't No Sunshine by Matt Andersen: Looking for more performances like this where the artist pours every ounce of their being into the song
looking for more ambient downtempo electronic trip hop songs with a slow melodic violin piano like the ones in this playlist | any suggestions,"Looking for more Ambient/Downtempo/Electronic/Trip-Hop songs with a slow, melodic violin/piano like the ones in this playlist. Any suggestions?"
rothrigo up and away,Rothrigo - Up and Away
please suggest music like the one between 3 30 to 4 30,Please suggest music like the one between 3:30 to 4:30
a classic rock band with a female singer with a soft voice,A classic rock band with a female singer with a soft voice
looking for songs that have a similar moody chord progression like this one | strangers by the sinking ships,Looking for songs that have a similar/moody chord progression like this one (Strangers by The Sinking Ships)
looking for songs similar to dreams by joakim karud,"Looking for songs similar to ""Dreams"" by Joakim Karud"
beautiful vocal ambient songs with full of emotions,Beautiful vocal ambient songs with full of emotions
songs about conspiracy or the government mistrust,Songs About Conspiracy or the Government Mistrust
songs similar to whitney houstons one of those days,"Songs similar to Whitney Houston's ""One of Those Days""?"
chill rap songs like planez by jeremih j cole,chill rap songs like planez by jeremih/j cole?
