preprocessed,original
really chill trap like hangover from dynoro,really chill trap like Hangover from Dynoro
anyone similar to johnny flynn | i particularly enjoy hard road by him,"anyone similar to Johnny Flynn? I particularly enjoy ""Hard Road"" by him"
frank zappa little feat music suggestions for my dad,"Frank Zappa, Little Feat. Music suggestions for my dad"
new album slab city,"new album ""Slab City"""
songs similar to bowsprit by balmorhea,Songs similar to Bowsprit by Balmorhea?
songs that help you with depression,Songs that help you with depression?
going depressed and need happy tunes,Going depressed and need happy tunes
non romantic songs about being in alone etc,"Non-Romantic Songs About Being In Alone, etc?"
suave youngin neon clothes,Suave Youngin - Neon Clothes
similar beat to this,similar beat to this?
looking for music with a rhytmic and driving beat but no techno,looking for music with a rhytmic and driving beat but no techno
desperately needing songs about missing or saying goodbye to friends,Desperately needing songs about missing or saying goodbye to friends. SAD
i have one punk pop rock song i really like | its the theme song from a 10 year old show kids show | any recommendations for similar songs artists,I have one punk/pop rock song I really like. It's the theme song from a 10 year old show kid's show. Any recommendations for similar songs/artists?
looking for songs with a sensual vibe or a classic noir feeling like générique by miles davis,Looking for songs with a sensual vibe or a classic noir feeling like Générique by Miles Davis.
modern songs that sound like 80s rock,Modern songs that sound like 80's rock
oloff sun rays,Oloff - Sun Rays
modern rock with heavy 60s 70s influence and a slight western country sound,Modern rock with heavy 60s/70s influence and a slight western/country sound?
please suggest some good german melodic songs,Please suggest some good German melodic songs ?
these songs are not that well known but what are some american artists or songs that are similar to colde sunflower colde shh offonoff dance,"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?"
looking for creepy ambient music while writing,Looking for Creepy Ambient music while Writing
emo songs that arent about girlfriends boyfriends,Emo songs that aren't about girlfriends/boyfriends
hardest geometry problem in the world mark mothersbaugh similar songs,Hardest Geometry Problem in the World- Mark Mothersbaugh ~Similar songs?
songs with themes of being unable to settle | ex hoziers someone new elle kings exes and ohs,"Songs with themes of being unable to settle? (EX: Hozier's Someone New, Elle King's Exes and Ohs)"
songs to listen to when you feel lost in life or feel like giving up & wanting to be reassured,Songs to listen to when you feel lost in life or feel like giving up & wanting to be reassured?
looking for music that feels primeval,"Looking for music that feels ""primeval."""
nghtmre street | anar remix,NGHTMRE - Street (ANAR remix)
looking for some good metal and deathcore any suggestions,"Looking for some good Metal and Deathcore, any suggestions?"
looking for slow deep kick n bass music,Looking for slow deep kick n' bass music
melodic metal rock,Melodic metal/rock
whats the name of this suspense type music,Whats the name of this suspense type music
favorite obscure bands from the early 2000s,Favorite obscure bands from the early 2000's
angry loud and melodic,Angry loud and melodic
music artists similar to nujabes atlas etc,"Music/Artists similar to Nujabes, Atlas, etc."
looking for good modern swedish artists | sung in swedish as well,"Looking for good, modern Swedish artists (sung in Swedish as well)"
looking for rappers with good music beats,Looking for rappers with good music/beats
70s rnb jazz blues | gsh gaye etc,"70's rnb/jazz/blues (GSH, Gaye, etc)"
irish hip hop cloud 404 9life 2020,Irish hip hop (Cloud 404 - 9LIFE) 2020
genre or music suggestions similar to this song,Genre or music suggestions similar to this song??
music with similar theme as save yourself stabbing westward on the incapacity to take care of someone | even if one would like to | any genre ok,Music with similar theme as Save yourself - Stabbing westward on the incapacity to take care of someone (even if one would like to). Any genre ok!
looking for bass heavy synth soundscapes ambient like zimmers blade runner 2049 score,Looking for bass heavy synth soundscapes/ambient like Zimmer's Blade Runner 2049 score.
anything simmilar to the llamas with hats outro,Anything simmilar to the Llamas with hats outro
similar songs genre like this,Similar songs / genre like this
music like parquet courts,Music like Parquet Courts
finally got into bon iver and iron & wine what are some other similar artists,"Finally got into Bon Iver and Iron & Wine, what are some other similar artists?"
songs with orchestral backings,Songs with orchestral backings??
songs that are basically about being the best,Songs that are basically about being the best
in search for a song that describes a character,In Search for a Song that Describes a Character
any happy upbeat sounding but actually melancholic breakup songs,"any ""happy/upbeat sounding"" but actually melancholic breakup songs?"
creating a grade 6 graduation slideshow,Creating a Grade 6 graduation slideshow
suggestions for street level combat themes | all genres welcome,"Suggestions for Street Level, combat themes? All genres welcome"
any artists similar to tally hall or miracle musical | its getting repetitive listening to the songs on repeat,any artists similar to Tally Hall or Miracle musical? It's getting repetitive listening to the songs on repeat.
something similar to system of a down,Something similar to System of a Down
looking for similar tracks to amon tobin & kid koala untitled,looking for similar tracks to Amon Tobin & Kid Koala - Untitled
trance classical newage music like this,Trance/classical/newage music like this
looking for ambient instrumental songs,Looking for ambient instrumental songs
code orange dreams in inertia i like code orange alright but i really want to find more melodic stuff like this song in particular | almost like shoegazey metal,"Code Orange - Dreams in Inertia - - - I like Code Orange alright, but I really want to find more melodic stuff like this song in particular. Almost like Shoegazey metal."
songs about losing someone grief,Songs about losing someone/grief?
more 1990s downtempo pop,More 1990's Downtempo Pop
songs about feeling for the first time,songs about feeling for the first time..
looking for dark psychedelic jams,Looking for Dark Psychedelic Jams
looking for music that blends punk with jazz or noise,Looking for music that blends Punk with Jazz or Noise
music with famous quotes or speakers,Music With Famous Quotes Or Speakers?
cottie stewards,Cottie - Stewards
something similar to this | ive had zero luck finding the composer,Something similar to this? (I've had zero luck finding the composer)
any artists songs similar to the sounds of eden blackbear and gnash,"Any artists/songs similar to the sounds of EDEN, Blackbear, and Gnash?"
looking for a distinct style of movie ending songs,Looking for a distinct style of movie ending songs.
suggestion for female lead bands with the same energy as the muffs tilt be your own pet the soviettes tweens dog party,"Suggestion for female lead bands with the same energy as The muffs, Tilt, be your own pet, the soviettes, tweens, dog party?"
looking for a really druggy album to listen too,Looking for a really Druggy album to listen too
similar to ach so gern,Similar to Ach so gern?
rock but with a deep message,Rock but with a deep message
looking for songs similar to kid rocks greatest show on earth,"Looking for Songs similar to Kid Rocks ""Greatest Show on Earth"""
any songs about self loathing and tearing things apart and not being able to fix them,Any songs about self-loathing and tearing things apart and not being able to fix them?
im working on a trip hop downtempo chillout lounge playlist and i could really use some music suggestions,I'm working on a Trip-Hop/Downtempo/Chillout/Lounge playlist and I could really use some music suggestions
beret ojalá,Beret - Ojalá
looking for music that incorporates bossa nova and electronic instruments and or unconventional instruments,Looking for Music that Incorporates Bossa Nova and Electronic Instruments and/or Unconventional Instruments...?
song similar to airport bar by noah,Song similar to Airport Bar by Noah
songs bands like sweet,Songs/bands like Sweet
shamanic experience playlist,shamanic experience playlist?
songs that sound sinister threatening,Songs that sound sinister/threatening
artists like smino sudan archives fjk jessie reyez or tash sultana,"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana"
modern 80s synth pop,Modern 80s/synth pop
looking for motivational music for my grind in life,Looking for motivational music for my grind in life
need new rap music to listen too in car,Need new rap music to listen too in car...
help duet ideas,help duet ideas
singers with southern american western accent who arent overly cheesy country,Singers with southern american/western accent who arent overly cheesy country?
anything with similar charm,Anything with similar charm?
trying to figure out what genre or style of music this is help,Trying to figure out what genre or style of music this is HELP
have a list of 65 songs artists worth your time,Have a list of 65 songs/artists worth your time!
looking for something similar to an awesome wave by alt j,Looking for something similar to “an awesome wave” by alt j
music for vibin,Music for vibin
relaxed electric songs,Relaxed electric songs?
rock hardrock,"Rock, Hardrock,...."
looking for something like the punk refrain in this song,Looking for something like the punk refrain in this song
super specific kind of song,Super specific kind of song
alternative indie rock songs with a strong emotional brass section,"Alternative/indie/rock songs with a strong, emotional brass section?"
looking for good melodic rap songs artists,Looking for good melodic rap songs/artists
songs similar to i love you like a alcoholic tax payers,Songs similar to I love you like a alcoholic - tax payers
im addicted to this song is not about a girl by flume & chet faker | what else would i like,"I'm addicted to ""This song is not about a girl"" by Flume & Chet Faker. What else would I like?"
looking for music that is similar to the soundtrack in little known game automachef,"Looking for music that is similar to the soundtrack in little known game ""Automachef"""
suggest music like this | lots of violins playing fast,suggest music like this? Lots of violins playing fast
some music like the one in guardians of the galaxy,Some music like the one in Guardians of the Galaxy?
looking for songs with young female popgeneric singers,Looking for songs with young female (pop?generic?) singers
looking for songs that give the same pump up feeling as this one,Looking for songs that give the same pump up feeling as this one.
looking for genuine ambient probably atonal music,"Looking for genuine ambient, probably atonal music"
looking for similar stuff to the contortionists rediscovered tracks,"Looking for similar stuff to The Contortionist's ""Rediscovered"" tracks"
songs like the black keys i got mine | just some good old fashioned f u rock n roll,Songs like The Black Keys - I Got Mine. Just some good old-fashioned F-U rock n roll
trying to find an album like solitude standing by suzanne vega my favorite album since age 7,"Trying to find an album like ""Solitude Standing"" by Suzanne Vega - My favorite album since age 7"
j pop or j rock groups or artists,J-pop or J-rock groups or artists?
looking for some bass heavy clubbing songs with lyrics,Looking for some bass heavy clubbing songs with lyrics
i like metro booming no complaints and drake sneakin i need more songs with this vibe any ideas,"I like Metro Booming ""no Complaints"" and Drake Sneakin I need more songs with this vibe any ideas?"
feeling lonely and a little dead | any good music,feeling lonely and a little dead. any good music?
synth & rap songs like atlantis by bridgit mendler,Synth & Rap - Songs like Atlantis by Bridgit Mendler
4 underrated folk pop recommendations,4 Underrated Folk Pop Recommendations
slow ambient sleeping music with some soft vocals that really make you feel like you are in another world,Slow ambient (sleeping) music with some soft vocals that really make you feel like you are in another world
looking to listen to new bands or anything similar | love mostly indie punk jazz alt rock but am open to new suggestions,"Looking to listen to new bands, or anything similar? Love mostly indie/punk/jazz/ alt rock but am open to new suggestions."
caye merry go round,Caye - Merry Go Round
recomend me artists albums similar to this,recomend me artists/albums similar to this?
country rock stuff like from a star is born,Country-rock(?) stuff like from A Star is Born
i feel incompetent is everything i do | do you have a track that matches my mood and can maybe help lift me out of it,I feel incompetent is everything I do. Do you have a track that matches my mood and can maybe help lift me out of it?
really love this song | any suggestions for similarly styled electronic music,Really love this song. Any suggestions for similarly styled electronic music?
looking for similar sad depressed ambient atmospheric beats such as this bones deadindesignerclothes | internetboi remix,"Looking for similar sad, depressed, ambient, atmospheric beats such as this (Bones - DeadInDesignerClothes (internetBoi Remix))"
soho disco hold on,Soho Disco - Hold On
looking for deep music similar to 2 pac styles p,Looking for deep music similar to 2 pac/styles p
songs similar to cindy by tammany hall nyc,Songs similar to Cindy by Tammany Hall NYC
in need of some music similar to the likes of rage against the machine bring me the horizon and dz deathrays,"In need of some music similar to the likes of Rage Against The Machine, Bring Me The Horizon and DZ Deathrays."
looking for a nostalgia trip courtesy of early 2000s highschool angsty emo goth rock nu metal sound,"Looking for a nostalgia trip courtesy of early 2000s highschool angsty, emo/goth, rock/nu-metal sound"
synthwave with vocals,Synthwave with vocals
the honeymoon era by paiige,The Honeymoon Era by Paiige
please recommend soothing songs for encouraging serenity and acceptance after a breakup,Please recommend soothing songs for encouraging serenity and acceptance after a breakup
any similiar suggestions to the song seeya by deadmau5 and colleen dagostino,"Any similiar suggestions to the song ""Seeya"" by deadmau5 and Colleen D'agostino?"
black arfican american dream pop,Black/ Arfican American Dream Pop??
give me anything pretty much,Give me anything pretty much
songs that make you feel,Songs that make you FEEL
intense songs like the chain by fleetwood mac,"Intense songs like ""The Chain"" by Fleetwood Mac?"
rap songs with a dope beat like this one,Rap songs with a dope beat like this one
after a long music rut i was happy to find koi child but theyre gone now and i need more,"After a long music rut, I was happy to find Koi Child but they're gone now and I need more!"
i need songs that give the message i love you but i know im not good for you so i should go sorta vibe,I need songs that give the message “I love you but I know I’m not good for you so I should go” sorta vibe
songs similar to,Songs similar to..
what would be the genre of this and where can i find more,What would be the genre of this and where can I find more?
recommend for me something similar to sturgill simpson,Recommend for me something similar to Sturgill Simpson
some good indie pop playlists | preferably ones that get updated but any is welcomed,some good Indie Pop playlists? Preferably ones that get updated but any is welcomed.
looking for some new calming r&b,looking for some new calming r&b
what are some of the best symphonic orchestra style scores in movies games tv shows etc,"What are some of the best symphonic/orchestra style scores in movies, games, tv shows etc"
any good spooky music,Any good spooky music?
im searching for songs that are like post malone leave,I'm searching for songs that are like Post Malone - Leave
edm similar to this,EDM Similar to this
other songs that use this vocal effect at the beginning,other songs that use this vocal effect at the beginning?
looking for the name of the genre and similar songs,Looking for the name of the genre and similar songs
normie indie music,Normie indie music
songs where the lyrics perfectly match up with the beat,Songs where the lyrics perfectly match up with the beat
can you suggest some songs similar to black sheep from scott pilgrim vs the world,Can you suggest some songs similar to black sheep from scott pilgrim vs the world?
i started running again and i need a new running playlist | looking for music that has a sort of climactic part to run to,I started running again and I need a new running playlist. Looking for music that has a sort of climactic part to run to.
music similar to nier automatas soundtrack,Music similar to Nier: Automata's soundtrack
looking for upbeat songs that tell a story,Looking for upbeat songs that tell a story.
horror movie songs,Horror movie songs!
looking for new bands that make atmospheric rock metal songs you can sing along to,Looking for new bands that make atmospheric rock/metal songs you can sing along to.
upbeat jazz like those from princess and the frog and hadestown,"Upbeat jazz like those from ""Princess and the Frog"" and ""Hadestown"""
looking for songs that follow a fun creepy vibe,"Looking for songs that follow a ""fun creepy"" vibe"
indie arctic monkeys green day nirvana etc,"INDIE: Arctic Monkeys, Green Day, Nirvana etc"
could you recommend something like this,Could you recommend something like this?
looking for jazz music with female singers who do ad libs,Looking for jazz music with female singers who do ad-libs.
where to start with latino music,Where to start with Latino music?
music like kid cudis,Music like Kid Cudi's?
feeling stressed and anxious and want calm but catchy vibes,Feeling stressed and anxious and want calm but catchy vibes.
lonely but melodic songs,Lonely but melodic songs
looking for songs with a sad harmonica like the overcooked theme song,Looking for songs with a “sad” harmonica like the Overcooked theme song.
looking for jazz ish music,Looking for Jazz-ish music
suggest something similar to wayfaring strangers by johnny cash | some good fiddle music,suggest something similar to Wayfaring Strangers by Johnny Cash? (some good fiddle music?)
melancholic vaporwave 90s retro style music,Melancholic/Vaporwave/90s retro style music?
recently listened to time to move by carmen,Recently listened to: Time to Move by Carmen
emo rap,emo rap
anything like traditional asian music with an edm twist,Anything like traditional Asian music with an EDM twist?
looking for alternative pop punk music,Looking for alternative Pop-Punk music
best rap with piano in it,Best rap with piano in it?
looking for songs like the nights | avicii,Looking for songs like The Nights (Avicii)
something that kind of sounds similar to the chorus of feel good inc,Something that kind of sounds similar to the chorus of Feel Good Inc?
need help finding songs about being carefree and lazy,Need help finding songs about being carefree and lazy :)
more songs like hold my liquor by kanye west,More songs like “Hold my liquor” by Kanye West
new albums to listen to,New albums to listen to!
looking for songs similar to the following,Looking for songs similar to the following
looking for upbeat and celebratory hip hop songs that put you in the moment,"Looking for upbeat and celebratory hip hop songs that put you ""in the moment"""
indie music choir harmonizing with lead singer,"Indie music, choir harmonizing with lead singer"
songs similar to blank space by i prevail,Songs similar to Blank Space by I Prevail
trying to find the music genre and any suggestions like the second half of this song already set the start point to halfway similar to esbe fulfill the dream,Trying to find the music genre and any suggestions like the second half of this song (already set the start point to halfway) Similar to Esbe Fulfill/ The Dream
what lonely songs should i listen to this valentines day,What lonely songs should I listen to this Valentine’s Day?
band comparable to soad,Band comparable to Soad
looking for music new and old in a similar vein to this,Looking for music (new and old) in a similar vein to this.
cinematic style music preferably with cellos violins brass instruments,"Cinematic style music, preferably with cellos/violins/brass instruments"
looking for songs albums that give off a feelgood driving home alone esque vibe,"Looking for songs/albums that give off a ""feelgood driving home alone""-esque vibe."
song suggestions for mother son dance at wedding,Song suggestions for mother-son dance at wedding
what songs are similar to atb when it ends it starts again,What songs are similar to ATB - When It Ends It Starts Again
anything similar to australian rapper allday,Anything similar to Australian rapper Allday
really catchy song,Really catchy song
ive been getting into tyler the creator and chance the rapper recently | also looking for artists similar to elvis bob crosby and that kinda vibe,Ive been getting into Tyler the creator and chance the rapper recently. Also looking for artists similar to Elvis bob Crosby and that kinda vibe
need songs to listen to while emotionally looking out the window like a music video,need songs to listen to while emotionally looking out the window like a music video
music like portland by bowling shoes,Music like Portland by Bowling Shoes
i need good music recommendations,I need good music recommendations.
songs similar to akiko shikatas hymnos,Songs similar to Akiko Shikata's hymnos?
i want more spanish language music in similar style to the soundtrack of the movie coco,I want more spanish-language music in similar style to the soundtrack of the movie Coco.
looking for highlights montage song,Looking for highlights/montage song
similar songs to endless summer by the midnight,"Similar songs to ""Endless Summer"" by The Midnight?"
rap songs for a non rap fan,"Rap songs for a "" non rap fan"""
looking for bands artists similar to trust,Looking for bands/artists similar to Trust
im looking for more dnb songs to make my dnb playlist even more awesome,im looking for more dnb songs to make my dnb playlist even more awesome
looking for high bpm techno stuffs,Looking for high bpm techno stuffs
what genre is this,What genre is this?
music like worakls,Music like Worakls?
love hermeto pascoal similar artists,love Hermeto Pascoal- similar artists?
please suggest songs similar to these masterpieces,please suggest songs similar to these masterpieces?
looking for an artist album that will move me,Looking for an artist / album that will move me
putting a playlist together theme right in your ear,Putting a playlist together: Theme: Right in your ear.
the piper at the gates of dawn pink floyd,"""The piper at the gates of dawn"" - Pink Floyd"
looking for israeli mizrahi music,Looking for Israeli mizrahi music
advice songs to one u bass and one ukulele group,advice songs to one u bass and one ukulele group
chill 90s 80s music with good vocals,Chill 90s/80s music with good vocals
songs you fit my summer playlist,Songs you fit my summer playlist.
songs that are customer friendly that would fit in a tropical greenhouse,Songs that are customer friendly that would fit in a tropical greenhouse.
looking for like electronic music with a depressing feel to it i love lo fi,Looking for like electronic music with a depressing feel to it I love lo-fi
i just want something similar to my two favorite songs,I just want something similar to my two favorite songs.
looking for pop songs about the end of the world,Looking for pop songs about the end of the world
any songs you know of that have a similar style,Any songs you know of that have a similar style?
similar music as sopor aeternus,Similar music as Sopor Aeternus?
a tune that could end war as we know it,A tune that could end war as we know it
cherokee numb | 2015,Cherokee - Numb (2015)
celebration of life songs,Celebration of Life Songs
name a song like this one,name a song like this one.
recommend me some songs similar to the sunslammer cement city remix by homestuck,recommend me some songs similar to the Sunslammer Cement City Remix by Homestuck?
songs like good news by mac miller | preferrably hip hop,Songs like Good News by Mac Miller? (preferrably hip-hop)
good instrumental and or foreign language music,Good instrumental and/or foreign language music
something along the lines of either the chain or mr blue sky,Something along the lines of either The Chain or Mr Blue Sky
looking for eastern european rap music,Looking for Eastern European rap music
heavy bass x gothic rap like oxygen by bones,Heavy Bass x Gothic Rap like Oxygen by BONES??
instrumentals with background screaming vocals,"Instrumentals with background ""screaming"" vocals"
